label,records,chunks,submit_ms,first_chunk_ms,total_ms,chunk_records,force_linear
indexed_r1,457601,92,29.5,34.0,253.4,1000,0
indexed_r2,457601,92,30.6,33.0,245.3,1000,0
indexed_r3,457601,92,29.8,33.7,248.2,1000,0
linear_r1,457601,92,59.8,64.1,279.3,1000,1
linear_r2,457601,92,60.7,64.7,281.2,1000,1
linear_r3,457601,92,62.8,66.8,277.5,1000,1
